name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm
rear_pylons,03 Wings,carbon_gloss,,,,,,,,,96,76,4261.0,4587.0,-176.0,176.0,422.3,961.7
rear_wing_main,03 Wings,carbon_gloss,,,,,,,,,240,212,4394.5,4736.4,-710.0,710.0,796.4,908.0
caliper_fl,04 Wheels and Brakes,alu_bright,,,,,,,,,500,510,767.0,1033.0,-881.9,-765.9,451.0,583.0
caliper_fr,04 Wheels and Brakes,alu_bright,,,,,,,,,500,510,767.0,1033.0,765.9,881.9,451.0,583.0
caliper_rl,04 Wheels and Brakes,alu_bright,,,,,,,,,500,510,3917.0,4183.0,-849.9,-733.9,461.0,593.0
caliper_rr,04 Wheels and Brakes,alu_bright,,,,,,,,,500,510,3917.0,4183.0,733.9,849.9,461.0,593.0
disc_fl,04 Wheels and Brakes,cf_disc,900.0,-830.0,335.0,0.0,1.0,0.0,1.0,spin,768,696,720.0,1080.0,-839.9,-807.9,155.0,515.0
disc_fr,04 Wheels and Brakes,cf_disc,900.0,830.0,335.0,0.0,1.0,0.0,1.0,spin,768,696,720.0,1080.0,807.9,839.9,155.0,515.0
disc_rl,04 Wheels and Brakes,cf_disc,4050.0,-800.0,345.0,0.0,1.0,0.0,1.0,spin,768,696,3870.0,4230.0,-807.9,-775.9,165.0,525.0
disc_rr,04 Wheels and Brakes,cf_disc,4050.0,800.0,345.0,0.0,1.0,0.0,1.0,spin,768,696,3870.0,4230.0,775.9,807.9,165.0,525.0
rim_fl,04 Wheels and Brakes,alu_dark,900.0,-830.0,335.0,0.0,1.0,0.0,1.0,spin,780,766,660.0,1140.0,-976.4,-683.6,95.0,575.0
rim_fr,04 Wheels and Brakes,alu_dark,900.0,830.0,335.0,0.0,1.0,0.0,1.0,spin,780,766,660.0,1140.0,683.6,976.4,95.0,575.0
rim_rl,04 Wheels and Brakes,alu_dark,4050.0,-800.0,345.0,0.0,1.0,0.0,1.0,spin,780,766,3810.0,4290.0,-994.4,-605.6,105.0,585.0
rim_rr,04 Wheels and Brakes,alu_dark,4050.0,800.0,345.0,0.0,1.0,0.0,1.0,spin,780,766,3810.0,4290.0,605.6,994.4,105.0,585.0
tyre_fl,04 Wheels and Brakes,rubber_tyre,900.0,-830.0,335.0,0.0,1.0,0.0,1.0,spin,640,640,565.0,1235.0,-981.0,-679.0,0.0,670.0
tyre_fr,04 Wheels and Brakes,rubber_tyre,900.0,830.0,335.0,0.0,1.0,0.0,1.0,spin,640,640,565.0,1235.0,679.0,981.0,0.0,670.0
tyre_rl,04 Wheels and Brakes,rubber_tyre,4050.0,-800.0,345.0,0.0,1.0,0.0,1.0,spin,640,640,3705.0,4395.0,-1000.5,-599.5,0.0,690.0
tyre_rr,04 Wheels and Brakes,rubber_tyre,4050.0,800.0,345.0,0.0,1.0,0.0,1.0,spin,640,640,3705.0,4395.0,599.5,1000.5,0.0,690.0
upright_fl,04 Wheels and Brakes,alu_bright,,,,,,,,,236,214,814.0,1069.5,-857.8,-624.5,127.3,421.0
upright_fr,04 Wheels and Brakes,alu_bright,,,,,,,,,236,214,814.0,1069.5,624.5,857.8,127.3,421.0
upright_rl,04 Wheels and Brakes,alu_bright,,,,,,,,,236,214,3964.0,4221.4,-823.8,-546.7,125.2,431.0
upright_rr,04 Wheels and Brakes,alu_bright,,,,,,,,,236,214,3964.0,4221.4,546.7,823.8,125.2,431.0
wheelcover_fl,04 Wheels and Brakes,carbon_gloss,900.0,-830.0,335.0,0.0,1.0,0.0,1.0,spin,392,374,686.0,1114.0,-971.8,-945.8,121.0,549.0
wheelcover_fr,04 Wheels and Brakes,carbon_gloss,900.0,830.0,335.0,0.0,1.0,0.0,1.0,spin,392,374,686.0,1114.0,945.8,971.8,121.0,549.0
wheelcover_rl,04 Wheels and Brakes,carbon_gloss,4050.0,-800.0,345.0,0.0,1.0,0.0,1.0,spin,392,374,3836.0,4264.0,-988.3,-962.3,131.0,559.0
wheelcover_rr,04 Wheels and Brakes,carbon_gloss,4050.0,800.0,345.0,0.0,1.0,0.0,1.0,spin,392,374,3836.0,4264.0,962.3,988.3,131.0,559.0
wheelnut_fl,04 Wheels and Brakes,alu_bright,900.0,-830.0,335.0,0.0,1.0,0.0,1.0,spin,24,24,861.9,938.1,-949.8,-915.8,291.0,379.0
wheelnut_fr,04 Wheels and Brakes,alu_bright,900.0,830.0,335.0,0.0,1.0,0.0,1.0,spin,24,24,861.9,938.1,915.8,949.8,291.0,379.0
wheelnut_rl,04 Wheels and Brakes,alu_bright,4050.0,-800.0,345.0,0.0,1.0,0.0,1.0,spin,24,24,4011.9,4088.1,-966.3,-932.3,301.0,389.0
wheelnut_rr,04 Wheels and Brakes,alu_bright,4050.0,800.0,345.0,0.0,1.0,0.0,1.0,spin,24,24,4011.9,4088.1,932.3,966.3,301.0,389.0
driveshafts,05 Suspension,steel,,,,,,,,,48,28,4024.0,4076.0,-624.0,624.0,319.0,371.0
pushrods,05 Suspension,carbon_matte,,,,,,,,,192,112,660.9,4259.0,-624.0,624.0,141.1,568.9
rockers,05 Suspension,alu_bright,,,,,,,,,32,24,955.0,3965.0,-320.0,320.0,120.0,640.0
wishbones,05 Suspension,carbon_matte,,,,,,,,,768,416,643.5,4363.5,-614.2,614.2,121.8,408.2
fan_motors,06 Fan System,alu_bright,,,,,,,,,176,176,4338.6,4461.4,-362.0,362.0,416.0,524.0
fan_rotor_l,06 Fan System,alu_bright,4400.0,-300.0,320.0,0.0,0.0,1.0,1.0,spin,2158,1898,4150.0,4649.9,-550.0,-50.9,224.0,392.0
fan_rotor_r,06 Fan System,alu_bright,4400.0,300.0,320.0,0.0,0.0,1.0,-1.0,spin,2158,1898,4150.0,4649.9,50.9,550.0,224.0,392.0
fan_stators,06 Fan System,alu_bright,,,,,,,,,504,288,4146.0,4651.0,-553.2,554.0,399.3,444.7
fanduct,06 Fan System,carbon_matte,,,,,,,,,528,500,3727.5,4680.0,-580.0,580.0,55.2,448.2
battery,08 Cooling and Energy,anodised,,,,,,,,,8,6,2040.0,2800.0,-150.0,150.0,95.0,205.0
engine,07 Power Unit,alu_cast,,,,,,,,,17304,17672,2900.0,3558.0,-203.5,214.8,78.0,667.0
fuel_cell,08 Cooling and Energy,anodised,,,,,,,,,8,6,2100.0,2660.0,-210.0,210.0,170.0,490.0
gearbox,07 Power Unit,magnesium,,,,,,,,,128,128,3600.0,4120.0,-175.0,175.0,155.0,505.0
radiators,08 Cooling and Energy,rad_core,,,,,,,,,16,12,2020.0,2620.0,-384.0,384.0,155.0,485.0
bargeboards,09 Aero Detail,carbon_gloss,,,,,,,,,320,304,1180.0,1760.0,-504.8,504.8,90.0,400.0
beam_wing,03 Wings,carbon_gloss,,,,,,,,,420,364,4228.6,4471.8,-550.0,550.0,392.5,489.2
brake_ducts,09 Aero Detail,carbon_matte,,,,,,,,,512,504,673.8,4280.7,-798.5,798.5,113.0,577.0
cameras,09 Aero Detail,carbon_matte,,,,,,,,,24,18,635.0,2145.0,-153.0,153.0,407.0,846.0
cooling_louvres,09 Aero Detail,carbon_matte,,,,,,,,,96,72,3145.0,3695.0,-132.0,132.0,392.0,538.0
exhaust,09 Aero Detail,steel,,,,,,,,,264,264,4400.0,4530.0,-166.0,166.0,404.0,531.5
floor_edge_wings,03 Wings,carbon_matte,,,,,,,,,360,304,3405.8,3582.6,-724.0,724.0,73.7,103.3
floor_fences,09 Aero Detail,carbon_matte,,,,,,,,,400,380,1900.0,3626.8,-835.5,835.5,10.0,88.0
mirrors,09 Aero Detail,carbon_gloss,,,,,,,,,56,36,1567.3,1675.0,-363.0,363.0,637.9,741.0
rainlight,09 Aero Detail,rubber_tyre,,,,,,,,,8,6,4448.0,4492.0,-48.0,48.0,295.0,365.0
turning_vanes,09 Aero Detail,carbon_gloss,,,,,,,,,160,152,1320.0,1700.0,-299.2,299.2,110.0,330.0
airbox,11 Structure and Service,carbon_gloss,,,,,,,,,64,50,2020.0,2400.0,-168.0,168.0,611.5,906.7
crash_structure,11 Structure and Service,carbon_matte,,,,,,,,,56,72,4120.0,4460.0,-118.0,118.0,213.8,446.2
driver,10 Cockpit,suit,,,,,,,,,104,78,1143.5,2015.0,-212.0,212.0,260.4,600.0
gills,09 Aero Detail,carbon_matte,,,,,,,,,208,156,3000.2,3654.7,-260.3,260.3,431.9,660.9
helmet,10 Cockpit,helmet,,,,,,,,,132,132,1634.6,1885.4,-113.5,118.8,563.3,816.7
jack_points,11 Structure and Service,alu_bright,,,,,,,,,100,120,374.0,4106.0,-46.0,46.0,95.0,235.8
nose_cape,09 Aero Detail,carbon_gloss,,,,,,,,,48,44,340.0,760.0,-300.0,300.0,68.2,163.3
nose_pylons,09 Aero Detail,carbon_gloss,,,,,,,,,60,44,196.4,506.2,-130.0,130.0,85.0,174.2
side_impact,11 Structure and Service,carbon_matte,,,,,,,,,96,56,1671.0,2049.0,-670.7,670.7,172.0,498.0
sidepod_gills,09 Aero Detail,carbon_gloss,,,,,,,,,240,180,2544.4,3255.6,-738.3,738.3,338.8,482.8
tow_hooks,11 Structure and Service,alu_bright,,,,,,,,,256,256,226.0,4194.0,-108.0,108.0,142.0,438.0
